service,type,genre,score,popularity
amazon,Movie,Thriller,4.15,3.823
netflix,Movie,Comedy,4.35,6.553
hulu,Movie,Comedy,6.800000000000001,2.15
hulu,Movie,Drama,6.800000000000001,2.15
netflix,Movie,Comedy,7.15,9.792
netflix,Movie,Romance,7.15,9.792
hbo,Movie,Documentary,6.85,4.204
netflix,Movie,Comedy,6.8,27.145
netflix,Movie,Romance,6.8,27.145
netflix,Movie,Comedy,7.35,28.109
netflix,Movie,Drama,7.35,28.109
hbo,Movie,Drama,5.85,16.739
hbo,Movie,Music,5.85,16.739
amazon,Movie,Thriller,5.7,0.9570000000000001
amazon,Movie,Drama,5.7,0.9570000000000001
netflix,Movie,Romance,7.25,2.574
netflix,Movie,Drama,7.25,2.574
netflix,Movie,Adventure,7.25,2.574
netflix,Movie,Action,5.0,4.449
netflix,Movie,Comedy,5.0,4.449
amazon,Movie,Action,4.25,1.2
amazon,Movie,Crime,4.25,1.2
netflix,Movie,Drama,5.949999999999999,14.092
amazon,Movie,Thriller,5.75,16.815
amazon,Movie,Drama,5.75,16.815
netflix,Movie,Thriller,6.05,39.696999999999996
netflix,Movie,Action,6.05,39.696999999999996
netflix,Movie,Crime,6.05,39.696999999999996
amazon,Movie,Action,6.1,18.795
amazon,Movie,Drama,6.1,18.795
amazon,Movie,History,6.1,18.795
amazon,Movie,Thriller,6.1,18.795
netflix,Movie,Action,6.1,18.795
netflix,Movie,Drama,6.1,18.795
netflix,Movie,History,6.1,18.795
netflix,Movie,Thriller,6.1,18.795
netflix,Movie,Action,6.199999999999999,52.86
netflix,Movie,Thriller,6.199999999999999,52.86
netflix,Movie,Comedy,6.199999999999999,52.86
netflix,Movie,Romance,5.5,9.636000000000001
netflix,Movie,Drama,5.5,9.636000000000001
netflix,Movie,Horror,3.75,1.3880000000000001
amazon,Movie,Horror,3.65,13.539000000000001
amazon,Movie,Action,3.65,13.539000000000001
amazon,Movie,Science Fiction,3.65,13.539000000000001
amazon,Movie,TV Movie,3.65,13.539000000000001
hbo,Movie,TV Movie,7.35,7.027
hbo,Movie,Drama,7.35,7.027
hbo,Movie,History,7.35,7.027
amazon,Movie,Drama,2.5,1.107
amazon,Movie,Comedy,2.5,1.107
amazon,Movie,Drama,5.35,4.172
amazon,Movie,Action,5.35,4.172
amazon,Movie,Thriller,5.35,4.172
amazon,Movie,History,5.35,4.172
netflix,Movie,Comedy,5.35,1.2229999999999999
netflix,Movie,Romance,5.35,1.2229999999999999
netflix,Movie,Drama,6.199999999999999,4.673
netflix,Movie,Mystery,6.199999999999999,4.673
netflix,Movie,Thriller,6.199999999999999,4.673
netflix,Movie,Drama,6.6,7.818
disney,Movie,Documentary,6.85,4.397
netflix,Movie,Thriller,5.199999999999999,2.184
amazon,Movie,Action,7.25,2.3480000000000003
amazon,Movie,Crime,7.25,2.3480000000000003
amazon,Movie,Drama,7.25,2.3480000000000003
hulu,Movie,Documentary,7.35,8.036
netflix,Movie,Thriller,6.15,9.631
netflix,Movie,Drama,6.15,9.631
netflix,Movie,History,6.15,9.631
