title,release_year,type,rating,service
A Star Is Born,1954,Movie,PG,hbo
A Star Is Born,1954,Movie,PG,hbo
A Star Is Born,1954,Movie,PG,hbo
A Star Is Born,1954,Movie,PG,hbo
A Star Is Born,1937,Movie,,hbo
A Star Is Born,1937,Movie,,hbo
A Star Is Born,1937,Movie,,hbo
A Star Is Born,1937,Movie,,hbo
A Star Is Born,1976,Movie,R,hbo
A Star Is Born,1976,Movie,R,hbo
A Star Is Born,1976,Movie,R,hbo
A Star Is Born,1976,Movie,R,hbo
City Lights,1931,Movie,G,hbo
Bohemian Rhapsody,2018,Movie,PG-13,hbo
Last Week Tonight with John Oliver,2014,TV Show,R,hbo
The Fighter,2010,Movie,R,hbo
M,1931,Movie,PG-13,hbo
Mystic River,2003,Movie,R,hbo
Cool Hand Luke,1967,Movie,PG,hbo
Harry Potter and the Half-Blood Prince,2009,Movie,PG,hbo
The Hobbit: An Unexpected Journey,2012,Movie,PG-13,hbo
X-Men,2000,Movie,PG-13,hbo
Rashomon,1950,Movie,,hbo
The Nice Guys,2016,Movie,R,hbo
Harry Potter and the Order of the Phoenix,2007,Movie,PG-13,hbo
Silicon Valley,2014,TV Show,R,hbo
The Goonies,1985,Movie,PG,hbo
Castle in the Sky,1986,Movie,PG,hbo
The Seventh Seal,1957,Movie,,hbo
Shazam!,2019,Movie,PG-13,hbo
The Maltese Falcon,1941,Movie,,hbo
Adventure Time,2010,TV Show,PG,hbo
Night of the Living Dead,1968,Movie,R,hbo
In the Mood for Love,2000,Movie,PG,hbo
Big Little Lies,2017,TV Show,R,hbo
Misery,1990,Movie,R,hbo
Bicycle Thieves,1948,Movie,,hbo
The Treasure of the Sierra Madre,1948,Movie,,hbo
Rome,2005,TV Show,R,hbo
Luther,2010,TV Show,PG-13,hbo
Crash,2004,Movie,R,hbo
Nausicaä of the Valley of the Wind,1984,Movie,PG,hbo
8½,1963,Movie,,hbo
Boardwalk Empire,2010,TV Show,R,hbo
Network,1976,Movie,R,hbo
Curb Your Enthusiasm,2000,TV Show,R,hbo
Yojimbo,1961,Movie,,hbo
The 400 Blows,1959,Movie,,hbo
Diabolique,1955,Movie,,hbo
When Harry Met Sally...,1989,Movie,R,hbo
Pride and Prejudice,1995,TV Show,G,hbo
Pride and Prejudice,1995,TV Show,G,hbo
Pride and Prejudice,1940,Movie,,hbo
Pride and Prejudice,1940,Movie,,hbo
They Shall Not Grow Old,2018,Movie,R,hbo
"Paris, Texas",1984,Movie,R,hbo
Ikiru,1952,Movie,,hbo
The Others,2001,Movie,PG-13,hbo
"Crazy, Stupid, Love.",2011,Movie,PG-13,hbo
Home Alone,1990,Movie,PG,hbo
Blood Diamond,2006,Movie,R,hbo
The Abyss,1989,Movie,PG-13,hbo
"Batman: The Dark Knight Returns, Part 1",2012,Movie,PG-13,hbo
Persona,1966,Movie,,hbo
Three Colors: Red,1994,Movie,R,hbo
Ponyo,2008,Movie,G,hbo
Solaris,1972,Movie,PG,hbo
The Night Of,2016,TV Show,R,hbo
