type,title,country,date_added,release_year,rating,duration,listed_in,description,service
Movie,The Night Eats The World,France,"April 17, 2021",2018,,94,"Horror,Thriller","After waking up in an apartment the night after a raging party, Sam comes face to face with his new reality, an army of zombies have invaded the streets of Paris and he is the lone survivor. Petrified with fear, he barricades himself inside the building to survive. He wonders how long can he last in silence and solitude, and the answer comes when he learns that he's not all alone after all.",amazon
Movie,Resilencia,Spain,"April 24, 2021",2020,,46,"Documentary,Sports","The documentary follows the midfielder’s everyday life for six months. It’s a sincere portrayal by Rafinha himself, who opened his home for the cameras to film every moment, even allowing them into the operating room.",amazon
Movie,Elon Musk: The Real Life Iron Man,United Kingdom,"May 2, 2021",2018,,74,Documentary,"Discover the meteoric rise of Elon Musk, the man who is transforming the way we think about travel technology through electric cars, the Hyperloop, and revolutionary ideas on how we live through artificial intelligence and colonizing Mars.",amazon
Movie,Summer '03,United States,"June 3, 2021",2019,,96,"Comedy,Drama","Summer '03 is the hilarious story of 16-year-old Jamie and her family, who are shocked after her calculating grandmother unveils an array of family secrets on her deathbed, one involving religion, the other of a more personal nature. Jamie is left to navigate her own love life and her closest friendships in the midst of this family crisis, and one of the most memorable summers of her life.",amazon
Movie,Zoombies,,,2016,PG-13,87,"Horror,Science Fiction","When a strange virus quickly spreads through a safari park and turns all the zoo animals undead, those left in the park must stop the creatures before they escape and zombify the whole city.",amazon
TV Show,Zoo Babies,,,2008,G,1,"Kids,Special Interest","A heart warming and inspiring series that welcomes the arrival of new members of the animal kingdom in Zoo's around the world, as well as showcasing endangered species being born in captivity, 'Zoo Babies' is perfect family viewing packaged with fun, colourful graphics designed to capture the attention of little ones.",amazon
TV Show,Zoë Coombs Marr: Bossy Bottom,,,2020,NC-17,1,"Comedy,Talk Show and Variety","Zoë Coombs Marr has been on hiatus. Sort of. For six years, she won stacks of awards and acclaim as a hack comic with a neckbeard called Dave. Whatever. She’s scraped off the neckbeard and is BAAAACK… as herself. There is no comedian quite like Zoë. Bossy Bottom is a joyously silly return to very serious stand up from the MICF Most Outstanding Show winner and Edinburgh Best Show nominee.",amazon
Movie,Zoe,,,2018,R,104,Science Fiction,"ZOE tells a tale of forbidden love between an engineer and a robot. ZOE (Léa Seydoux) and COLE (Ewan McGregor) are colleagues and veiled lovers at a lab working to perfect romantic relationships. But their relationship is threatened when Zoe discovers the truth about their relationship, sending them into a spiral of confusion, betrayal and the most intense of human emotions, love.",amazon
TV Show,Zoboomafoo,,,2001,G,1,Kids,Chris and Martin Kratt bring their enthusiasm for animals to the pre-school set.,amazon
TV Show,Zo Zo Zombie: Mini-Series,,,2020,PG,1,"Action,Anime,Comedy","Zo Zo Zombie is our undead hero who, with his best [human] friend Isamu, is just trying to do some good in this world but somehow always ends up in pieces. Literally.",amazon
Movie,Zis Boom Bah,,,1941,NR,62,"Arts/Entertainment/Culture,Comedy,Drama","""Hey, kids, let's get together and put on a show!"" That's the idea behind this raucous spoof about a vaudeville performer who goes to college to spy on her bratty son.",amazon
Movie,Zandalee,,,1991,R,94,Drama,"Zandalee has grown bored with her poet-turned-businessman husband and has an affair with his best friend. When their passions grow wild, it proves to be too hot for any of them to handle.",amazon
Movie,Zambezi: Force of Life,,,2005,G,50,Documentary,"The Zambezi river is the fourth-longest river in Africa, flowing from the heart of Zambia all the way to the Indian Ocean. Along the way, we discover the breathtaking wildlife that call the river home, including hippos and crocodiles. As we follow the course of this infamous river, even more diverse wildlife is revealed along its shores. With danger at every turn, this is Zambezi!",amazon
TV Show,Z: The Beginning of Everything,United States,,2017,NC-17,1,"Comedy,Drama","""Z: The Beginning of Everything"" tells the story of Zelda Sayre Fitzgerald, the brilliant, beautiful Southern Belle who became the original flapper and icon of the wild, flamboyant Jazz Age.",amazon
TV Show,Yu-Gi-Oh! Zexal,,,2015,PG,3,"Animation,Anime,Fantasy","It's time to feel the flow as Yu-Gi-Oh! Zexal blasts off into awesome new adventures! Seven legendary number cards are hidden throughout the cosmos, each holding a key to unlocking the ultimate power of the universe. Yuma and Astral must find them before the evil Barians do for whoever wields this force can use it to save the galaxy or destroy it!",amazon
TV Show,Yu-Gi-Oh! ARC-V,,,2018,PG,3,"Action,Adventure,Animation",Get set to swing into action as Yu-Gi-Oh! ARC-V takes its final bow!,amazon
